n,k,m,distance
4,9,16,2.1665525
4,9,17,2.1971445
4,9,18,2.2429375
4,9,19,2.2768035
4,9,20,2.3126035
4,9,21,2.349205
4,9,22,2.3846195
4,9,23,2.4194355
4,9,24,2.4565975
4,9,25,2.489286
4,9,26,2.52122
4,9,27,2.5587105
4,9,28,2.588248
4,9,29,2.6213
4,9,30,2.6509875
4,10,1,1.026394
4,10,2,1.343985
4,10,3,1.5192985
4,10,4,1.61421
4,10,5,1.6891135
4,10,6,1.745899
4,10,7,1.794931
4,10,8,1.843051
4,10,9,1.882071
4,10,10,1.9225615
4,10,11,1.953292
4,10,12,1.9918465
4,10,13,2.025896
4,10,14,2.0555925
4,10,15,2.088523
4,10,16,2.1237655
4,10,17,2.1528845
4,10,18,2.1912005
4,10,19,2.219549
4,10,20,2.25204
4,10,21,2.2836925
4,10,22,2.313704
4,10,23,2.35003
4,10,24,2.383393
4,10,25,2.410883
4,10,26,2.4384355
4,10,27,2.472071
4,10,28,2.496787
4,10,29,2.5300065
4,10,30,2.5593045
5,2,1,1.026389
5,2,2,1.614363
5,2,3,2.064181
5,2,4,2.46545
5,2,5,2.7955905
5,2,6,3.1164785
5,2,7,3.3926355
5,2,8,3.634437
5,2,9,3.825783
5,2,10,3.999267
5,2,11,4.1518595
5,2,12,4.283304
5,2,13,4.3913425
5,2,14,4.4954405
5,2,15,4.597048
5,2,16,4.6705985
5,2,17,4.731968
5,2,18,4.792782
5,2,19,4.862441
5,2,20,4.913531
5,2,21,4.9492445
5,2,22,5.00261
5,2,23,5.048322
5,2,24,5.079542
5,2,25,5.113978
5,2,26,5.139642
5,2,27,5.178722
5,2,28,5.2018855
5,2,29,5.231159
5,2,30,5.265395
5,3,1,1.026389
5,3,2,1.398194
5,3,3,1.647331
5,3,4,1.868133
5,3,5,2.085911
5,3,6,2.2904255
5,3,7,2.4927605
5,3,8,2.6706875
5,3,9,2.8318515
5,3,10,2.9890795
5,3,11,3.1347355
5,3,12,3.2677055
5,3,13,3.3922505
5,3,14,3.5144145
5,3,15,3.6186735
5,3,16,3.7328245
5,3,17,3.825506
5,3,18,3.903338
5,3,19,3.9890095
5,3,20,4.0743305
5,3,21,4.144278
5,3,22,4.2251835
5,3,23,4.2879295
5,3,24,4.342828
5,3,25,4.388701
