n,k,m,distance
4,8,15,16.18900002
4,8,16,16.53800002
4,8,17,16.87100002
4,8,18,17.26650003
4,8,19,17.59450003
4,8,20,17.95600003
4,8,21,18.23100003
4,8,22,18.55600003
4,8,23,18.88300003
4,8,24,19.19750003
4,8,25,19.50750003
4,8,26,19.74200003
4,8,27,20.02600003
4,8,28,20.28600003
4,8,29,20.53500003
4,8,30,20.82600003
4,9,1,8.21400001
4,9,2,10.77800001
4,9,3,12.19200002
4,9,4,12.99700002
4,9,5,13.65000002
4,9,6,14.18100002
4,9,7,14.67600002
4,9,8,15.13150002
4,9,9,15.56200002
4,9,10,15.98900002
4,9,11,16.30700002
4,9,12,16.74150002
4,9,13,17.09400002
4,9,14,17.47750002
4,9,15,17.83150002
4,9,16,18.17250002
4,9,17,18.50250002
4,9,18,18.90150002
4,9,19,19.25250002
4,9,20,19.60250002
4,9,21,19.98000003
4,9,22,20.26150003
4,9,23,20.62550003
4,9,24,20.95150003
4,9,25,21.23800003
4,9,26,21.53400003
4,9,27,21.85950003
4,9,28,22.12200003
4,9,29,22.40700003
4,9,30,22.69450003
4,10,1,9.25200001
4,10,2,12.12150001
4,10,3,13.69650002
4,10,4,14.58000002
4,10,5,15.29600002
4,10,6,15.85250002
4,10,7,16.36050002
4,10,8,16.83300002
4,10,9,17.26250002
4,10,10,17.71500002
4,10,11,18.04050002
4,10,12,18.47700002
4,10,13,18.84050002
4,10,14,19.19250002
4,10,15,19.55550002
4,10,16,19.93650002
4,10,17,20.26650002
4,10,18,20.65650002
4,10,19,20.99300002
4,10,20,21.37000002
4,10,21,21.72600002
4,10,22,22.01300002
4,10,23,22.40050003
4,10,24,22.74300003
4,10,25,23.05450003
4,10,26,23.35700003
4,10,27,23.66750003
4,10,28,23.95150003
4,10,29,24.26650003
4,10,30,24.55450003
5,2,1,1.00000001
5,2,2,1.80400002
5,2,3,2.42400002
5,2,4,2.94700003
5,2,5,3.33650003
5,2,6,3.67650004
5,2,7,3.92950004
5,2,8,4.15600004
5,2,9,4.30600004
5,2,10,4.43700005
5,2,11,4.55050005
5,2,12,4.65500005
5,2,13,4.70750005
5,2,14,4.77050005
5,2,15,4.81900005
5,2,16,4.84950005
5,2,17,4.88100005
5,2,18,4.89500005
5,2,19,4.92700005
5,2,20,4.93700005
5,2,21,4.94650005
5,2,22,4.96000006
5,2,23,4.96700006
5,2,24,4.97100006
5,2,25,4.98200006
5,2,26,4.98400006
5,2,27,4.98500006
5,2,28,4.98950006
5,2,29,4.99300006
5,2,30,4.99400006
5,3,1,2.02000001
5,3,2,2.90000001
5,3,3,3.46200002
5,3,4,4.00700002
5,3,5,4.56450002
5,3,6,5.07650003
5,3,7,5.58100003
5,3,8,6.03200003
5,3,9,6.40250003
5,3,10,6.77600003
5,3,11,7.10700004
5,3,12,7.39850004
5,3,13,7.65450004
5,3,14,7.90200004
5,3,15,8.10100004
5,3,16,8.29200004
5,3,17,8.46650004
5,3,18,8.60500004
5,3,19,8.75700005
5,3,20,8.90400005
5,3,21,8.97950005
5,3,22,9.10950005
5,3,23,9.19750005
5,3,24,9.26600005
5,3,25,9.32300005
5,3,26,9.39850005
5,3,27,9.45450005
5,3,28,9.51900005
5,3,29,9.56650005
5,3,30,9.61900005
5,4,1,3.07200001
5,4,2,4.18100001
5,4,3,4.84650002
5,4,4,5.39450002
5,4,5,5.93700002
5,4,6,6.47300002
5,4,7,6.98950002
5,4,8,7.51050003
5,4,9,7.96200003
5,4,10,8.45550003
5,4,11,8.86700003
5,4,12,9.26650003
5,4,13,9.64000003
5,4,14,10.00450003
5,4,15,10.33650004
5,4,16,10.66600004
5,4,17,10.95500004
5,4,18,11.18550004
5,4,19,11.45600004
5,4,20,11.72500004
5,4,21,11.92050004
